province_id	province_name	alonhadat	batdongsan	nhatot	guland	mogi	total
4	Vĩnh Long	10462	Nguyệt Hoá	0	1	0	0	0	1
4	Vĩnh Long	20677	Chợ Lách	0	1	0	0	0	1
4	Vĩnh Long	20680	Thạnh Phú	0	1	0	0	0	1
4	Vĩnh Long	20699	Trà Vinh	0	2	0	0	0	2
4	Vĩnh Long	20727	Tam Bình	0	0	1	0	0	1
8	TP Huế	10119	An Cựu	0	11	2	0	0	13
8	TP Huế	10130	Thuận Hóa	0	16	2	0	0	18
8	TP Huế	10140	Thủy Xuân	0	4	3	0	0	7
8	TP Huế	10143	Vỹ Dạ	0	2	2	0	0	4
8	TP Huế	10146	Phú Bài	0	1	2	0	0	3
8	TP Huế	10150	Thanh Thủy	0	3	1	0	0	4
8	TP Huế	10151	Hương Thủy	0	0	1	0	0	1
8	TP Huế	10170	Kim Trà	0	3	2	0	0	5
8	TP Huế	10171	Hương Trà	0	1	0	0	0	1
8	TP Huế	10193	Phong Dinh	0	0	1	0	0	1
8	TP Huế	10196	Phong Điền	0	0	1	0	0	1
8	TP Huế	10198	Chân Mây - Lăng Cô	0	3	1	0	0	4
8	TP Huế	10211	Vinh Lộc	0	1	0	0	0	1
8	TP Huế	10223	Mỹ Thượng	0	5	0	0	0	5
8	TP Huế	10224	Phú Hồ	0	0	1	0	0	1
8	TP Huế	21289	Phú Xuân	0	1	1	0	0	2
8	TP Huế	21290	Kim Long	0	1	4	0	0	5
8	TP Huế	21293	A Lưới 2	0	1	0	0	0	1
8	TP Huế	21375	Đan Điền	0	1	0	0	0	1
9	Thanh Hóa	9015	Bỉm Sơn	0	1	0	0	0	1
9	Thanh Hóa	9056	Đông Sơn	0	7	1	0	0	8
9	Thanh Hóa	9066	Tống Sơn	0	1	0	0	0	1
9	Thanh Hóa	9132	Hoằng Phú	0	1	0	0	0	1
9	Thanh Hóa	9145	Hoằng Tiến	0	1	0	0	0	1
9	Thanh Hóa	9154	Nguyệt Viên	0	2	0	0	0	2
9	Thanh Hóa	9193	Tân Tiến	0	1	0	0	0	1
9	Thanh Hóa	9270	Thăng Bình	0	1	0	0	0	1
9	Thanh Hóa	9280	Tượng Lĩnh	0	1	0	0	0	1
9	Thanh Hóa	9316	Quảng Bình	0	2	0	0	0	2
9	Thanh Hóa	9336	Quảng Ngọc	0	1	1	0	0	2
9	Thanh Hóa	9341	Quảng Phú	0	3	0	0	0	3
9	Thanh Hóa	9353	Nam Sầm Sơn	0	1	0	0	0	1
9	Thanh Hóa	9356	Sầm Sơn	0	8	0	0	0	8
9	Thanh Hóa	9361	Kim Tân	0	2	0	0	0	2
9	Thanh Hóa	9363	Thạch Bình	0	1	0	0	0	1
9	Thanh Hóa	9369	Thạch Quảng	0	4	2	0	0	6
9	Thanh Hóa	9386	Thành Vinh	0	6	1	0	0	7
9	Thanh Hóa	9388	Vân Du	0	0	1	0	0	1
9	Thanh Hóa	9397	Hàm Rồng	0	23	3	0	0	26
9	Thanh Hóa	9401	Hạc Thành	0	43	4	0	0	47
9	Thanh Hóa	9403	Đông Quang	0	5	0	0	0	5
9	Thanh Hóa	9413	Sao Vàng	0	1	0	0	0	1
9	Thanh Hóa	9474	Tĩnh Gia	0	1	0	0	0	1
9	Thanh Hóa	9485	Đào Duy Từ	0	1	0	0	0	1
9	Thanh Hóa	9537	Đồng Tiến	0	1	0	0	0	1
9	Thanh Hóa	9542	Hợp Tiến	0	1	0	0	0	1
9	Thanh Hóa	9554	Thọ Phú	0	1	1	0	0	2
9	Thanh Hóa	21041	Lưu Vệ	0	1	1	0	0	2
9	Thanh Hóa	21063	Tân Ninh	0	1	0	0	0	1
10	Thái Nguyên	9911	Đại Từ	0	0	0	0	1	1
10	Thái Nguyên	9917	Đại Phúc	0	2	1	0	0	3
10	Thái Nguyên	9982	Phổ Yên	0	9	0	0	0	9
10	Thái Nguyên	9989	Vạn Xuân	0	32	1	0	0	33
10	Thái Nguyên	9995	Thành Công	0	1	1	0	0	2
10	Thái Nguyên	9998	Trung Thành	0	2	0	0	0	2
10	Thái Nguyên	10003	Điềm Thụy	0	1	0	0	0	1
10	Thái Nguyên	10008	Kha Sơn	0	10	0	0	0	10
10	Thái Nguyên	10036	Yên Trạch	0	1	0	0	0	1
10	Thái Nguyên	10037	Bá Xuyên	0	3	0	0	0	3
10	Thái Nguyên	10040	Bách Quang	0	3	0	0	0	3
10	Thái Nguyên	10044	Sông Công	0	2	0	0	0	2
10	Thái Nguyên	10050	Gia Sàng	0	2	0	0	0	2
10	Thái Nguyên	10054	Phan Đình Phùng	0	16	1	0	0	17
10	Thái Nguyên	10062	Quyết Thắng	0	33	3	0	0	36
10	Thái Nguyên	10070	Tích Lương	0	1	0	0	0	1
10	Thái Nguyên	21179	Linh Sơn	0	3	0	0	0	3
12	Tây Ninh	6139	Bình Đức	0	12	0	157	0	169
12	Tây Ninh	6142	Lương Hòa	0	30	0	284	0	314
12	Tây Ninh	6143	Mỹ Yên	0	44	0	289	0	333
12	Tây Ninh	6150	Thạnh Lợi	0	4	0	68	0	72
12	Tây Ninh	6152	Long Cang	0	8	0	160	0	168
12	Tây Ninh	6156	Long Hựu	0	0	0	9	0	9
12	Tây Ninh	6159	Rạch Kiến	0	5	0	391	0	396
12	Tây Ninh	6160	Mỹ Lệ	0	8	0	90	0	98
12	Tây Ninh	6166	Tân Lân	0	18	0	139	0	157
12	Tây Ninh	6173	Mỹ Lộc	0	9	0	75	0	84
12	Tây Ninh	6177	Phước Lý	0	17	0	82	0	99
12	Tây Ninh	6179	Phước Vĩnh Tây	0	0	0	27	0	27
12	Tây Ninh	6181	Tân Tập	0	6	0	38	0	44
12	Tây Ninh	6184	An Lục Long	0	4	0	11	0	15
12	Tây Ninh	6192	Tầm Vu	0	2	0	56	0	58
12	Tây Ninh	6195	Thuận Mỹ	0	1	0	6	0	7
12	Tây Ninh	6196	Vĩnh Công	0	0	0	4	0	4
12	Tây Ninh	6197	An Ninh	0	1	0	55	0	56
12	Tây Ninh	6202	Đức Lập	0	25	0	214	0	239
12	Tây Ninh	6204	Hậu Nghĩa	0	16	0	182	0	198
12	Tây Ninh	6205	Hiệp Hòa	0	1	0	25	0	26
12	Tây Ninh	6208	Hòa Khánh	0	7	0	184	0	191
12	Tây Ninh	6212	Mỹ Hạnh	0	48	0	668	0	716
12	Tây Ninh	6215	Đức Huệ	0	1	0	45	0	46
12	Tây Ninh	6219	Đông Thành	0	2	0	30	0	32
12	Tây Ninh	6221	Mỹ Quý	0	0	0	5	0	5
12	Tây Ninh	6226	Bình Hiệp	0	1	0	5	0	6
