province_id	province_name	ward_id	ward_name
4	Vĩnh Long	2941	Tiên Thủy
4	Vĩnh Long	20718	Tiểu Cần
4	Vĩnh Long	1835	Trà Côn
4	Vĩnh Long	20722	Trà Cú
4	Vĩnh Long	1834	Trà Ôn
4	Vĩnh Long	20699	Trà Vinh
4	Vĩnh Long	1861	Trung Hiệp
4	Vĩnh Long	1863	Trung Ngãi
4	Vĩnh Long	1865	Trung Thành
4	Vĩnh Long	10474	Trường Long Hoà
4	Vĩnh Long	10453	Vinh Kim
4	Vĩnh Long	2952	Vĩnh Thành
4	Vĩnh Long	1836	Vĩnh Xuân
5	Tuyên Quang	20789	An Tường
5	Tuyên Quang	3722	Bắc Mê
5	Tuyên Quang	3740	Bắc Quang
5	Tuyên Quang	3868	Bạch Đích
5	Tuyên Quang	3827	Bạch Ngọc
5	Tuyên Quang	10534	Bạch Xa
5	Tuyên Quang	3773	Bản Máy
5	Tuyên Quang	3723	Bằng Hành
5	Tuyên Quang	21072	Bằng Lang
5	Tuyên Quang	10505	Bình An
5	Tuyên Quang	10598	Bình Ca
5	Tuyên Quang	20793	Bình Thuận
5	Tuyên Quang	10536	Bình Xa
5	Tuyên Quang	3815	Cán Tỷ
5	Tuyên Quang	3828	Cao Bồ
5	Tuyên Quang	10529	Chiêm Hóa
5	Tuyên Quang	10552	Côn Lôn
5	Tuyên Quang	3870	Du Già
5	Tuyên Quang	3724	Đồng Tâm
5	Tuyên Quang	10579	Đông Thọ
5	Tuyên Quang	21064	Đồng Văn
5	Tuyên Quang	3727	Đồng Yên
5	Tuyên Quang	3711	Đường Hồng
5	Tuyên Quang	3872	Đường Thượng
5	Tuyên Quang	3712	Giáp Trung
5	Tuyên Quang	3767	Hà Giang 1
5	Tuyên Quang	3766	Hà Giang 2
5	Tuyên Quang	10545	Hàm Yên
5	Tuyên Quang	3779	Hồ Thầu
5	Tuyên Quang	10524	Hòa An
5	Tuyên Quang	3796	Hoàng Su Phì
5	Tuyên Quang	10575	Hồng Sơn
5	Tuyên Quang	10554	Hồng Thái
5	Tuyên Quang	3729	Hùng An
5	Tuyên Quang	10538	Hùng Đức
5	Tuyên Quang	10621	Hùng Lợi
5	Tuyên Quang	3799	Khâu Vai
5	Tuyên Quang	3856	Khuôn Lùng
5	Tuyên Quang	10513	Kiên Đài
5	Tuyên Quang	10622	Kiến Thiết
5	Tuyên Quang	10514	Kim Bình
5	Tuyên Quang	20835	Lâm Bình
5	Tuyên Quang	3832	Lao Chải
5	Tuyên Quang	3732	Liên Hiệp
5	Tuyên Quang	3833	Linh Hồ
5	Tuyên Quang	10626	Lực Hành
5	Tuyên Quang	3747	Lũng Cú
5	Tuyên Quang	3748	Lũng Phìn
5	Tuyên Quang	3818	Lùng Tám
5	Tuyên Quang	3876	Mậu Duệ
5	Tuyên Quang	21068	Mèo Vạc
5	Tuyên Quang	3714	Minh Ngọc
5	Tuyên Quang	10516	Minh Quang
5	Tuyên Quang	3715	Minh Sơn
5	Tuyên Quang	3834	Minh Tân
5	Tuyên Quang	10587	Minh Thanh
5	Tuyên Quang	10606	Minh Xuân
5	Tuyên Quang	20825	Mỹ Lâm
5	Tuyên Quang	20842	Nà Hang
5	Tuyên Quang	3858	Nấm Dẩn
5	Tuyên Quang	3780	Nậm Dịch
5	Tuyên Quang	3819	Nghĩa Thuận
5	Tuyên Quang	3765	Ngọc Đường
5	Tuyên Quang	3880	Ngọc Long
5	Tuyên Quang	10630	Nhữ Khê
5	Tuyên Quang	3803	Niêm Sơn
5	Tuyên Quang	10607	Nông Tiến
5	Tuyên Quang	3862	Pà Vầy Sủ
5	Tuyên Quang	3752	Phố Bảng
5	Tuyên Quang	3839	Phú Linh
5	Tuyên Quang	10589	Phú Lương
5	Tuyên Quang	10543	Phù Lưu
5	Tuyên Quang	3787	Pờ Ly Ngài
5	Tuyên Quang	3820	Quản Bạ
5	Tuyên Quang	21070	Quang Bình
5	Tuyên Quang	3863	Quảng Nguyên
5	Tuyên Quang	3755	Sà Phìn
5	Tuyên Quang	20849	Sơn Dương
5	Tuyên Quang	10588	Sơn Thủy
5	Tuyên Quang	3807	Sơn Vĩ
5	Tuyên Quang	3808	Sủng Máng
5	Tuyên Quang	10522	Tân An
5	Tuyên Quang	10636	Tân Long
5	Tuyên Quang	10523	Tân Mỹ
5	Tuyên Quang	3735	Tân Quang
5	Tuyên Quang	20847	Tân Thanh
5	Tuyên Quang	3790	Tân Tiến
5	Tuyên Quang	10595	Tân Trào
