province_id | province_name   | ward_id | ward_name               | data_full_count | data_no_full_count | total_count
1           | TP. Hà Nội      | 629     | Vĩnh Thanh              | 107             | 100                | 207        
1           | TP. Hà Nội      | 726     | Vĩnh Tuy                | 582             | 390                | 972        
1           | TP. Hà Nội      | 20029   | Xuân Đỉnh               | 75              | 72                 | 147        
1           | TP. Hà Nội      | 869     | Xuân Mai                | 147             | 130                | 277        
1           | TP. Hà Nội      | 532     | Xuân Phương             | 338             | 311                | 649        
1           | TP. Hà Nội      | 836     | Yên Bài                 | 146             | 93                 | 239        
1           | TP. Hà Nội      | 686     | Yên Hòa                 | 993             | 415                | 1408       
1           | TP. Hà Nội      | 783     | Yên Lãng                | 18              | 2                  | 20         
1           | TP. Hà Nội      | 893     | Yên Nghĩa               | 38              | 30                 | 68         
1           | TP. Hà Nội      | 21504   | Yên Sở                  | 0               | 0                  | 0          
1           | TP. Hà Nội      | 972     | Yên Xuân                | 76              | 41                 | 117        
4           | Vĩnh Long       | 2865    | An Bình                | 13              | 9                  | 22         
4           | Vĩnh Long       | 10942   | An Định                 | 4               | 1                  | 5          
4           | Vĩnh Long       | 2867    | An Hiệp                 | 1               | 1                  | 2          
4           | Vĩnh Long       | 2969    | An Hội                  | 83              | 42                 | 125        
4           | Vĩnh Long       | 2870    | An Ngãi Trung           | 4               | 2                  | 6          
4           | Vĩnh Long       | 10431   | An Phú Tân             | 2               | 0                  | 2          
4           | Vĩnh Long       | 2977    | An Qui                  | 2               | 1                  | 3          
4           | Vĩnh Long       | 10417   | An Trường              | 0               | 1                  | 1          
4           | Vĩnh Long       | 20673   | Ba Tri                  | 1               | 1                  | 2          
4           | Vĩnh Long       | 2873    | Bảo Thạnh               | 1               | 0                  | 1          
4           | Vĩnh Long       | 10937   | Bến Tre                 | 80              | 48                 | 128        
4           | Vĩnh Long       | 20675   | Bình Đại                | 4               | 5                  | 9          
4           | Vĩnh Long       | 1781    | Bình Minh              | 30              | 23                 | 53         
4           | Vĩnh Long       | 10419   | Bình Phú              | 2               | 5                  | 7          
4           | Vĩnh Long       | 1797    | Bình Phước            | 16              | 7                  | 23         
4           | Vĩnh Long       | 1816    | Cái Ngang               | 22              | 3                  | 25         
4           | Vĩnh Long       | 1798    | Cái Nhum               | 14              | 15                 | 29         
4           | Vĩnh Long       | 1780    | Cái Vồn               | 450             | 28                 | 478        
4           | Vĩnh Long       | 10420   | Càng Long              | 3               | 2                  | 5          
4           | Vĩnh Long       | 20712   | Cầu Kè                | 2               | 3                  | 5          
4           | Vĩnh Long       | 20713   | Cầu Ngang              | 2               | 0                  | 2          
4           | Vĩnh Long       | 2957    | Châu Hòa                | 9               | 7                  | 16         
4           | Vĩnh Long       | 2905    | Châu Hưng               | 10              | 6                  | 16         
4           | Vĩnh Long       | 10454   | Châu Thành             | 3               | 10                 | 13         
4           | Vĩnh Long       | 20677   | Chợ Lách                | 6               | 13                 | 19         
4           | Vĩnh Long       | 20709   | Duyên Hải              | 3               | 3                  | 6          
4           | Vĩnh Long       | 10486   | Đại An                 | 0               | 1                  | 1          
4           | Vĩnh Long       | 2981    | Đại Điền                | 13              | 0                  | 13         
4           | Vĩnh Long       | 10488   | Đôn Châu                | 0               | 2                  | 2          
4           | Vĩnh Long       | 10467   | Đông Hải                | 0               | 1                  | 1          
4           | Vĩnh Long       | 10953   | Đồng Khởi               | 1               | 3                  | 4          
4           | Vĩnh Long       | 1779    | Đông Thành              | 42              | 33                 | 75         
4           | Vĩnh Long       | 2927    | Giao Long               | 41              | 29                 | 70         
4           | Vĩnh Long       | 20679   | Giồng Trôm              | 6               | 1                  | 7          
4           | Vĩnh Long       | 10490   | Hàm Giang              | 0               | 0                  | 0          
4           | Vĩnh Long       | 20714   | Hiệp Mỹ               | 3               | 0                  | 3          
4           | Vĩnh Long       | 1851    | Hiếu Phụng              | 4               | 1                  | 5          
4           | Vĩnh Long       | 1852    | Hiếu Thành             | 9               | 2                  | 11         
4           | Vĩnh Long       | 1825    | Hòa Bình                | 12              | 3                  | 15         
4           | Vĩnh Long       | 1811    | Hòa Hiệp                | 19              | 7                  | 26         
4           | Vĩnh Long       | 10456   | Hòa Minh                | 1               | 0                  | 1          
4           | Vĩnh Long       | 10457   | Hoà Thuận             | 9               | 4                  | 13         
4           | Vĩnh Long       | 10478   | Hùng Hoà              | 3               | 3                  | 6          
4           | Vĩnh Long       | 2944    | Hưng Khánh Trung        | 2               | 3                  | 5          
4           | Vĩnh Long       | 10458   | Hưng Mỹ                | 13              | 4                  | 17         
4           | Vĩnh Long       | 2960    | Hưng Nhượng             | 3               | 4                  | 7          
4           | Vĩnh Long       | 10955   | Hương Mỹ                | 9               | 1                  | 10         
4           | Vĩnh Long       | 2908    | Lộc Thuận               | 3               | 3                  | 6          
4           | Vĩnh Long       | 1841    | Long Châu               | 216             | 80                 | 296        
4           | Vĩnh Long       | 20698   | Long Đức               | 36              | 9                  | 45         
4           | Vĩnh Long       | 10491   | Long Hiệp              | 1               | 0                  | 1          
4           | Vĩnh Long       | 1789    | Long Hồ                | 67              | 32                 | 99         
4           | Vĩnh Long       | 10459   | Long Hòa                | 0               | 0                  | 0          
4           | Vĩnh Long       | 10469   | Long Hữu               | 0               | 0                  | 0          
4           | Vĩnh Long       | 10470   | Long Thành             | 0               | 0                  | 0          
4           | Vĩnh Long       | 10472   | Long Vĩnh               | 1               | 0                  | 1          
4           | Vĩnh Long       | 1827    | Lục Sĩ Thành           | 1               | 1                  | 2          
4           | Vĩnh Long       | 2962    | Lương Hòa               | 9               | 2                  | 11         
4           | Vĩnh Long       | 2963    | Lương Phú               | 5               | 4                  | 9          
4           | Vĩnh Long       | 10492   | Lưu Nghiệp Anh         | 0               | 0                  | 0          
4           | Vĩnh Long       | 20682   | Mỏ Cày                  | 13              | 18                 | 31         
4           | Vĩnh Long       | 2876    | Mỹ Chánh Hòa            | 3               | 0                  | 3          
4           | Vĩnh Long       | 10446   | Mỹ Long                | 1               | 0                  | 1          
4           | Vĩnh Long       | 10891   | Mỹ Thuận                | 12              | 6                  | 18         
4           | Vĩnh Long       | 1814    | Ngãi Tứ                 | 19              | 6                  | 25         
4           | Vĩnh Long       | 10473   | Ngũ Lạc               | 2               | 0                  | 2          
4           | Vĩnh Long       | 10462   | Nguyệt Hoá            | 30              | 31                 | 61         
4           | Vĩnh Long       | 10426   | Nhị Long               | 0               | 1                  | 1          
4           | Vĩnh Long       | 10449   | Nhị Trường            | 1               | 0                  | 1          
4           | Vĩnh Long       | 1805    | Nhơn Phú               | 18              | 3                  | 21         
4           | Vĩnh Long       | 10928   | Nhuận Phú Tân           | 2               | 8                  | 10         
4           | Vĩnh Long       | 10437   | Phong Thạnh            | 1               | 2                  | 3          
4           | Vĩnh Long       | 2892    | Phú Khương              | 171             | 99                 | 270        
4           | Vĩnh Long       | 2946    | Phú Phụng               | 4               | 4                  | 8          
4           | Vĩnh Long       | 1791    | Phú Quới              | 106             | 21                 | 127        
4           | Vĩnh Long       | 2894    | Phú Tân                 | 152             | 89                 | 241        
4           | Vĩnh Long       | 2912    | Phú Thuận               | 4               | 6                  | 10         
4           | Vĩnh Long       | 20716   | Phú Túc                 | 42              | 12                 | 54         
4           | Vĩnh Long       | 1792    | Phước Hậu               | 239             | 79                 | 318        
4           | Vĩnh Long       | 2968    | Phước Long              | 5               | 6                  | 11         
4           | Vĩnh Long       | 10930   | Phước Mỹ Trung          | 17              | 9                  | 26         
