BDS_Location,Map,Cafeland_Suggestion,Score,BDS_ID,Sys_Ward_ID
"Xã Giàng Chu Phìn, Mèo Vạc, Hà Giang",->,"Giàng Chu Phìn, Mèo Vạt",1.00,5835,3798
"Xã Khâu Vai, Mèo Vạc, Hà Giang",->,"Khâu Vai, Mèo Vạt",1.00,5836,3799
"Xã Lũng Chinh, Mèo Vạc, Hà Giang",->,"Lũng Chinh, Mèo Vạt",1.00,5839,3800
"Xã Lũng Pù, Mèo Vạc, Hà Giang",->,"Lũng Pù, Mèo Vạt",1.00,5843,3801
"Xã Nậm Ban, Mèo Vạc, Hà Giang",->,"Nậm Ban, Mèo Vạt",1.00,5847,3802
"Xã Niêm Sơn, Mèo Vạc, Hà Giang",->,"Niêm Sơn, Mèo Vạt",1.00,5851,3803
"Xã Pả Vi, Mèo Vạc, Hà Giang",->,"Pả Vi, Mèo Vạt",1.00,5854,3805
"Xã Pải Lủng, Mèo Vạc, Hà Giang",->,"Pải Lủng, Mèo Vạt",1.00,5855,3806
"Xã Sơn Vĩ, Mèo Vạc, Hà Giang",->,"Sơn Vĩ, Mèo Vạt",1.00,5856,3807
"Xã Sủng Máng, Mèo Vạc, Hà Giang",->,"Sủng Máng, Mèo Vạt",1.00,5857,3808
"Xã Sủng Trà, Mèo Vạc, Hà Giang",->,"Sủng Trà, Mèo Vạt",1.00,5858,3809
"Xã Tả Lủng, Mèo Vạc, Hà Giang",->,"Tả Lủng, Mèo Vạt",1.00,5859,3810
"Xã Tát Ngà, Mèo Vạc, Hà Giang",->,"Tát Ngà, Mèo Vạt",1.00,5860,3811
"Xã Thượng Phùng, Mèo Vạc, Hà Giang",->,"Thượng Phùng, Mèo Vạt",1.00,5861,3812
"Xã Xín Cái, Mèo Vạc, Hà Giang",->,"Xín Cái, Mèo Vạt",1.00,5862,3813
"Xã Niêm Tòng, Mèo Vạc, Hà Giang",->,"Niêm Tòng, Mèo Vạt",1.00,5863,3804
"Xã BokTơi, Hoài Ân, Bình Định",->,"Bok Tới, Hoài Ân",0.92,6290,2177
"Xã Bình Thuận, Tây Sơn, Bình Định",->,"Bình Thành, Tây Sơn",0.90,6328,2258
"Xã Đa Krông, Đa Krông, Quảng Trị",->,"Đakrông, Đa Krông",0.93,6376,21426
"Xã Phong Thạnh Tây A, Phước Long, Bạc Liêu",->,"Phong Thạch Tây A, Phước Long",0.94,7146,2340
"Xã Phong Thạnh Tây B, Phước Long, Bạc Liêu",->,"Phong Thạch Tây B, Phước Long",0.94,7147,2341
"Xã Gia Tân 1, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7327,1201
"Xã Gia Tân 2, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7328,1201
"Xã Gia Tân 3, Thống Nhất, Đồng Nai",->,"Gia Tân I, Thống Nhất",0.89,7329,1201
"Xã Đăk Drô, Krông Nô, Đắk Nông",->,"Đăk Rô, Krông Nô",0.92,7568,10951
"Xã Đắk R’Moan, Gia Nghĩa, Đắk Nông",->,"Đắk R'Moan, Thị xã Gia Nghĩa",0.90,7616,10841
"Xã Long Hải, Đảo Phú Quý, Bình Thuận",->,"Long Hải, Phú Quí",1.00,7617,2094
"Xã Ngũ Phụng, Đảo Phú Quý, Bình Thuận",->,"Ngũ Phụng, Phú Quí",1.00,7618,2095
"Xã Tam Thanh, Đảo Phú Quý, Bình Thuận",->,"Tam Thanh, Phú Quí",1.00,7620,2096
