province_id	province_name	ward_id	ward_name	total_uploaded
5	Tuyên Quang	3796	Hoàng Su Phì	2
5	Tuyên Quang	3799	Khâu Vai	0
5	Tuyên Quang	3803	Niêm Sơn	0
5	Tuyên Quang	3807	Sơn Vĩ	0
5	Tuyên Quang	3808	Sủng Máng	0
5	Tuyên Quang	3811	Tát Ngà	0
5	Tuyên Quang	3815	Cán Tỷ	0
5	Tuyên Quang	3818	Lùng Tám	0
5	Tuyên Quang	3819	Nghĩa Thuận	0
5	Tuyên Quang	3820	Quản Bạ	0
5	Tuyên Quang	3826	Tùng Vài	0
5	Tuyên Quang	3827	Bạch Ngọc	0
5	Tuyên Quang	3828	Cao Bồ	0
5	Tuyên Quang	3832	Lao Chải	0
5	Tuyên Quang	3833	Linh Hồ	0
5	Tuyên Quang	3834	Minh Tân	0
5	Tuyên Quang	3839	Phú Linh	0
5	Tuyên Quang	3841	Việt Lâm	0
5	Tuyên Quang	3843	Thanh Thủy	0
5	Tuyên Quang	3844	Thuận Hòa	0
5	Tuyên Quang	3845	Thượng Sơn	0
5	Tuyên Quang	3847	Tùng Bá	0
5	Tuyên Quang	3856	Khuôn Lùng	0
5	Tuyên Quang	3858	Nấm Dẩn	0
5	Tuyên Quang	3862	Pà Vầy Sủ	0
5	Tuyên Quang	3863	Quảng Nguyên	0
5	Tuyên Quang	3867	Trung Thịnh	0
5	Tuyên Quang	3868	Bạch Đích	0
5	Tuyên Quang	3870	Du Già	0
5	Tuyên Quang	3872	Đường Thượng	0
5	Tuyên Quang	3876	Mậu Duệ	0
5	Tuyên Quang	3880	Ngọc Long	0
5	Tuyên Quang	3884	Thắng Mố	0
5	Tuyên Quang	10505	Bình An	0
5	Tuyên Quang	10513	Kiên Đài	0
5	Tuyên Quang	10514	Kim Bình	1
5	Tuyên Quang	10516	Minh Quang	0
5	Tuyên Quang	10522	Tân An	0
5	Tuyên Quang	10523	Tân Mỹ	0
5	Tuyên Quang	10524	Hòa An	0
5	Tuyên Quang	10526	Tri Phú	0
5	Tuyên Quang	10527	Trung Hà	0
5	Tuyên Quang	10529	Chiêm Hóa	0
5	Tuyên Quang	10532	Yên Lập	0
5	Tuyên Quang	10533	Yên Nguyên	0
5	Tuyên Quang	10534	Bạch Xa	0
5	Tuyên Quang	10536	Bình Xa	0
5	Tuyên Quang	10537	Thái Hòa	0
5	Tuyên Quang	10538	Hùng Đức	0
5	Tuyên Quang	10543	Phù Lưu	0
5	Tuyên Quang	10545	Hàm Yên	0
5	Tuyên Quang	10547	Thái Sơn	0
5	Tuyên Quang	10550	Yên Phú	0
5	Tuyên Quang	10552	Côn Lôn	0
